device_name,applicant,decision_date,k_number,decision_description,contact,product_code,country_code,year,product_description
"AQUASOFT (OCUFILCON D) DAILY WEAR CONTACT LENS CLEAR AND VISIBILITY TINT, WITH UV BLOCKER",CLEARLAB PTE LTD.,2003-05-14,K030748,Substantially Equivalent,MARTIN  DALSING,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
AVAIRA (ENFILCON A) CONTACT LENS,"COOPERVISION, INC.",2012-04-03,K113759,Substantially Equivalent,KARIN  GASTINEAU,LPL,US,2012,"Lenses, Soft Contact, Daily Wear"
"Metro Soft, Silicone Hydrogel Daily Wear Soft Contact Lens (efrofilcon A)","Metro Optics of Austin, Inc.",2024-02-06,K233221,Substantially Equivalent,Steve  Webb,LPL,US,2024,"Lenses, Soft Contact, Daily Wear"
AQUASPLASH (Polymacon) Soft (Hydrophilic) Daily Wear Contact Lens,VP Optics,2021-04-27,K210609,Substantially Equivalent,Daniel  Yoon,LPL,KR,2021,"Lenses, Soft Contact, Daily Wear"
EXTREME H2O 54% (HIOXIFILCON D) SOFT CONTACT LENS (SPHERICAL AND TORIC),HYDROGEL VISION CORPORATION,2005-07-18,K051430,Substantially Equivalent,DONNA  HOVANEC,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
"SAVIEW-COLORS 42 UV (HEFILCON A) ,TORIC (HEFILCON A), MULTIFOCAL (HEFILCON A)SOFT (HYDROPHILIC) CONTACT LENS","ST. SHINE OPTICAL CO., LTD.",2013-03-29,K123484,Substantially Equivalent,ELLA  LEE,LPL,TW,2013,"Lenses, Soft Contact, Daily Wear"
"S45 (OCUFILCON A) SPHERICAL, ASPHERICAL, TORIC AND MULTIFOCAL SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, FULLY-","BESCON CO., LTD.",2001-07-09,K001962,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
AL-47 (ISOFILCON) SOFT (SPHERICAL) DAILY WEAR CONTACT LENS,MARTIN DALSING,1997-11-20,K973597,Substantially Equivalent,MARTIN  DALSING,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
PROMED 55-G SOFT DAILY WEAR CONTACT LENS,BIOMED DEVICES CORP.,1997-03-19,K970615,Substantially Equivalent,MARTIN J DALSING,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
EYE-Q (XYLOFILCON A) SOFT (HYDROPHILIC) MULTIFOCAL CONTACT LENS FOR DAILY WEAR,SOFLEX CONTACT LENS INDUSTRIES LTD.,2001-11-20,K013469,Substantially Equivalent,Kevin  Walls,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
"SAVIEW-AQUA 58 UV (ETAFILCON A) VISIBILITY TINTED SOFT (HYDROPHILIC) CONTACT LENS, SAVIEW-AQUA 58 UV TORIC (ETAFILCON A)","ST. SHINE OPTICAL CO., LTD.",2013-08-30,K132146,Substantially Equivalent,ELLA  LEE,LPL,TW,2013,"Lenses, Soft Contact, Daily Wear"
AXION PLUS (METHAFILCON A) SOFT (HYDROPHILIC) ASPHERIC CONTRACT LENS,"UNILENS CORP., USA",2000-10-17,K002408,Substantially Equivalent,CHARLOTTE B COUECOU,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
"Largan U38 (Polymacon) Daily Wear Soft (hydrophilic) Contact Lens, Largan U38 (Polymacon) Daily Wear Soft (hydrophilic) Contact Lens for Astigmatism, Largan U38 (Polymacon) Daily Wear Soft (hydrophilic) Contact Lens for Presbyopia","Largan Medical Co., Ltd",2018-11-13,K182674,Substantially Equivalent,Amy  Tien,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
ROSE K POST GRAFT LENS,ROSE K INTERNATIONAL LTD.,2002-05-30,K013646,Substantially Equivalent,IAN  JENNINGS,HQD,NZ,2002,"Lens, Contact (Other Material) - Daily"
59% EXTREME H2O (HIOXIFILCON A) SOFT CONTACT LENS,HYDROGEL VISION CORPORATION,2005-02-02,K040303,Substantially Equivalent,DONNA  HOVANEC,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
Acuity 100 (hexafocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2016-12-08,K162005,Substantially Equivalent,James A. Bonafini,HQD,US,2016,"Lens, Contact (Other Material) - Daily"
"ENI-EYE SH TORIC (EFROFILCON A) SOFT HYDROPHILIC TORIC CONTACT LENS FOR DAILY WEAR, MULTIFOCAL CONTACT LENS, KERATOCONUS",SOFLEX LIMITED,2011-07-28,K110261,Substantially Equivalent,Kevin  Walls,LPL,US,2011,"Lenses, Soft Contact, Daily Wear"
OXYCOR (BALAFILCON A) VISIBILITY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",1997-08-08,K972454,Substantially Equivalent,DENNIS  HAHN,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
AIRPERM (SIFLUFOCON A) RIGID GAS PERMEABLE OK CONTACT LENSES FOR DAILY WEAR ORTHOKERATOLOGY,"AIRPERM, INC.",1998-04-08,K973697,Substantially Equivalent,NICK  STOYAN,MUW,US,1998,"Lens, Contact (Orthokeratology)"
BAUSCH & LOMB PHOENIX (HILAFILCON A) VISIBILITY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",1998-11-18,K983894,Substantially Equivalent,DENNIS  HAHN,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
AQUASOFT (TETRAFILCON A) DAILY WEAR SOFT (HYDROPHILIC) CONTACT LENS,"COOPERVISION, INC.",1995-11-24,K954139,Substantially Equivalent,AMY  BLAZAK,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
Acuity 200 (fluoroxyfocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2021-04-09,K203571,Substantially Equivalent,James A. Bonafini,HQD,US,2021,"Lens, Contact (Other Material) - Daily"
LANDERS HIGH REFRACTIVE INDEX VITRECTOMY LENS SET,"OCULAR INSTRUMENTS, INC.",1991-11-13,K914117,Substantially Equivalent,TAMSIN J ERICKSON,HJK,US,1991,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
Menicon ASRB (asmofilcon A) Silicone Hydrogel Soft Contact Lens,"Menicon Co., Ltd.",2018-02-22,K180004,Substantially Equivalent,Kenichi  Tanaka,LPL,JP,2018,"Lenses, Soft Contact, Daily Wear"
DISCON (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,INNOVA VISION INC.,2005-08-12,K051129,Substantially Equivalent,JENNIFER  REICH,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
FRESHLOOK ONE-DAY COLOR CONTACT LENS,CIBA VISION CORPORATION,2005-03-28,K050213,Substantially Equivalent,ANGELA L BUNN,MVN,US,2005,"Lens, Contact, (Disposable)"
EYEPRINTPRO (ROFLUFOCON D) SCLERAL GP LENSES,ADVANCED VISION TECHNOLOGIES,2016-04-27,K152724,Substantially Equivalent,KEITH  PARKER,HQD,US,2016,"Lens, Contact (Other Material) - Daily"
"HYDRO2, HS-75","INNOVISION, INC.",2000-05-12,K000485,Substantially Equivalent,DON M WOODFORD,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
"ONSI -56 (ONSIFOCON A) RIGID GAS PERMEABLE SPHERICAL, ASPHERIC, TORIC AND BIFOCAL CONTACT LENS",THE LAGADO CORP.,2004-09-16,K033599,Substantially Equivalent,JOHN M SZABOCSIK,HQD,US,2004,"Lens, Contact (Other Material) - Daily"
"ALDEN CLASSIC PROSTHETIC (POLYMACON) TINTED, SOFT DAILY WEAR CONTACT LENS (SIGHTED AND NON-SIGHTED EYES)","ALDEN OPTICAL LABS., INC.",1998-10-21,K983053,Substantially Equivalent,MARTIN  DALSING,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
CONTINENTAL 45 TORIC SOFT (HYDROPHILIC) CONTACT LENSES FOR DAILY WEAR,"CONTINENTAL SOFT LENS, INC.",1999-05-11,K990011,Substantially Equivalent,KIM  MCQUARRIE,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
SOFLENS DAILY DISPOSABLE TORIC (HILAFILCON B) VISIBILITY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",2008-06-10,K080755,Substantially Equivalent,DEBRA  KETCHUM,MVN,US,2008,"Lens, Contact, (Disposable)"
CALAVIEW COLORS (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS,INNOVA VISION INC.,2007-06-07,K062541,Substantially Equivalent,JENNIFER  REICH,LPL,US,2007,"Lenses, Soft Contact, Daily Wear"
HORIZON 38 (CLEAR) AND HORIZON 38 WESTINT (TINTED),"WESTCON CONTACT LENS CO., INC.",2002-11-26,K023530,Substantially Equivalent,CAROL  NOBLE,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
RxSight Contact Lens,"RxSight, Inc.",2020-09-10,K201909,Substantially Equivalent,Maureen  O'Connell,HJK,US,2020,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
BostonSight Scleral,BostonSight,2019-01-04,K183175,Substantially Equivalent,Gene  Guselli,HQD,US,2019,"Lens, Contact (Other Material) - Daily"
Aveo 1-DAY Aspheric Soft Contact Lens (omafilcon A),SUPERVISION OPTIMAX SDN BHD,2017-01-04,K162223,Substantially Equivalent,YAP PEAK GEEH,LPL,MY,2017,"Lenses, Soft Contact, Daily Wear"
ROSE K LENS,ROSE K INTERNATIONAL LTD.,1995-02-07,K945955,Substantially Equivalent,I  JENNINGS,HQD,NZ,1995,"Lens, Contact (Other Material) - Daily"
"Daily Breeze B (olifilcon B) Spherical Silicone Hydrogel Soft Contact Lens, Daily Breeze B (olifilcon B) Toric Silicone Hydrogel Soft Contact Lens, Daily Breeze B (olifilcon B) Multifocal Silicone Hydrogel Soft Contact Lens",Visco Vision Inc,2020-07-15,K201080,Substantially Equivalent,Evan  Huang,LPL,TW,2020,"Lenses, Soft Contact, Daily Wear"
IGEL(R) 56 (HEFILCON C) SOFT (HYDROPHLIC) CONTACT LENS,IGEL VISION CARE PTE LTD.,1998-07-06,K974837,Substantially Equivalent,JOHN M SZABOCSIK,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
"BIOCURVE SOFT (METHAFILCON A) SPHERICAL AND TORIC SOFT CONTACT LENS FOR DAILY WEAR (CLEAR & BLUE VISIBILITY TINT, LATHE","AMERICAN BIOCURVE, INC.",2001-02-13,K001585,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
BOSTON EQUALENS II (OPRIFOCON A) CONTACT LENS FOR ORTHOKERATOLGY,POLYMER TECHNOLOGY,2001-02-16,K003933,Substantially Equivalent,NANCY  ABRAHAM,MUW,US,2001,"Lens, Contact (Orthokeratology)"
"Eye Secret 38 UV Aspheric (polymacon) Soft (hydrophilic) Contact Lens for Daily Wear, Eye Secret 55 UV Aspheric ( methafilcon A) Soft (hydrophilic) Contact lens for Daily Wear","YUNG SHENG OPTICAL CO., LTD.",2015-06-15,K150630,Substantially Equivalent,Wen-Han  Chen,MVN,TW,2015,"Lens, Contact, (Disposable)"
FREQUENCY UV (ETAFILCON A) HYDROPHILIC CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED),"ASPECT VISION CARE, LTD.",1998-04-22,K980634,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
"Volk Disposable Iridotomy Lens, Volk Disposable Capsulotomy Lens",Volk Optical Inc.,2015-08-18,K151961,Substantially Equivalent,Meghan M Leonard,HJK,US,2015,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
Innova Vision Hydrogel (Hioxifilcon A) Soft (Hydrophilic) Contact Lens,Innova Vision Inc.,2022-05-13,K213119,Substantially Equivalent,Kari  Huang,LPL,TW,2022,"Lenses, Soft Contact, Daily Wear"
"BAUSCH + LOMB PROCOMFORT (SAMFILCON A) CONTACT LENS, BAUSCH + LOMB PROCOMFORT (SAMFILCON A) CONTACT LENS FOR PRESBYOPIA,","BAUSCH & LOMB, INC.",2013-09-11,K131208,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
"Intelliwave4 with HPT, Silicone Hydrogel Daily Wear Soft Contact Lens (safrofilcon A)","ART OPTICAL CONTACT LENS, INC.",2015-11-24,K152046,Substantially Equivalent,MICHAEL  JOHNSON,LPL,US,2015,"Lenses, Soft Contact, Daily Wear"
"REVITALEYES, POST-SURGICAL SOFT DAILY WEAR CONTACT LENS (HIOXIFILCON B) CLEAR AND BLUE VISIBILITY TINT","METRO OPTICS OF AUSTIN, INC.",2008-07-23,K080512,Substantially Equivalent,MARTIN  DALSING,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
"ClearColor 1-day (hioxifilcon A) Daily Disposable Soft (hydrophilic) Contact Lens, Aryan Color 1-day (hioxifilcon A) Daily Disposable Soft (hydrophilic) Contact Lens","Clearlab SG Pte, Ltd",2019-09-27,K192129,Substantially Equivalent,John Christopher Phelan,LPL,SG,2019,"Lenses, Soft Contact, Daily Wear"
FOCUS DAILIES VISITINT (NELFILCON A) ONE-DAY CONTACT LENS,CIBA VISION CORPORATION,1999-01-25,K984273,Substantially Equivalent,STEVEN  DOWDLEY,MVN,US,1999,"Lens, Contact, (Disposable)"
Clariti 1 day (somofilcon A) Soft (Hydrophilic) Daily Disposable Contact Lens with UV Blocker,"CooperVision, Inc.",2018-12-11,K181920,Substantially Equivalent,Marie  Dutton,LPL,US,2018,"Lenses, Soft Contact, Daily Wear"
Eye Secret 38 UV Aspheric (polymacon) 1-Day Soft (hydrophilic) Contact Lens,"YUNG SHENG OPTICAL CO., LTD.",2015-01-16,K143190,Substantially Equivalent,WEN-HAN  CHEN,MVN,TW,2015,"Lens, Contact, (Disposable)"
Endocular Viewing Lenses and Silicone Ring,Phakos,2018-10-25,K173944,Substantially Equivalent,J. D. Webb,HJK,FR,2018,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
HEXA100 (hexafocon A) Daily Wear Contact Lenses,CONTAMAC Ltd.,2017-08-01,K171077,Substantially Equivalent,Rob  McGregor,HQD,GB,2017,"Lens, Contact (Other Material) - Daily"
"SEE CLEAR SOFT CONTACT LENS, SEE CLEAR COLOR SOFT CONTACT LENS, FIERCE SOFT CONTACT LENS","THE SEE CLEAR COMPANY, INC",2011-11-02,K111345,Substantially Equivalent,KEVIN  RANDALL,LPL,US,2011,"Lenses, Soft Contact, Daily Wear"
SEE3 (LOTRAFILCON A) SOFT CONTACT LENS,CIBA VISION CORPORATION,1997-05-09,K970746,Substantially Equivalent,"ALICIA M PLESNARSKI, RAC",LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
ENFLU 18 (enflufocon A) Daily Wear Contact Lens,CONTAMAC Ltd.,2017-10-24,K171575,Substantially Equivalent,Rob  Mcgregor,HQD,GB,2017,"Lens, Contact (Other Material) - Daily"
TRANS-AIRE RIGID GAS PERMEABLE CONTACT LENS,RAND SCIENTIFIC CORP.,1995-06-30,K952165,Substantially Equivalent,DUANE  TRACY,HQD,US,1995,"Lens, Contact (Other Material) - Daily"
RIGID GAS PERMEABLE CONTACT LENS,BAUSCH & LOMB INCORPORATED,2002-04-03,K013762,Substantially Equivalent,DEBRA L.B.  KETCHUM,HQD,US,2002,"Lens, Contact (Other Material) - Daily"
OxySoft (olifilcon C) silicone hydrogel soft contact lens,Visco Vision Inc.,2019-10-02,K191397,Substantially Equivalent,Evan  Huang,LPL,TW,2019,"Lenses, Soft Contact, Daily Wear"
FREQUENCY 55 (METHAFILCON A) HYDROPHILIC CONTACT LENS,"ASPECT VISION CARE, LTD.",1997-05-21,K971164,Substantially Equivalent,ANTHONY  GALLEY,LPL,GB,1997,"Lenses, Soft Contact, Daily Wear"
CALAVIEW COLOR (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR MODIFICATION,INNOVA VISION INC.,2012-08-17,K112373,Substantially Equivalent,JENNIFER  REICH,LPL,US,2012,"Lenses, Soft Contact, Daily Wear"
"Apioc (efrofilcon A) Soft (hydrophilic) Silicone Hydrogel Contact Lens, Apioc P for Presbyopia (efrofilcon A) Soft (hydrophilic) Silicone Hydrogel Contact Lens, Apioc A for Astigmatism (efrofilcon A) Soft (hydrophilic) Silicone Hydrogel Contact Lens, Apioc AP (efrofilcon A) Soft (hydrophilic) Silicone Hydrogel Contact Lens","Lentechs, LLC",2019-09-06,K191121,Substantially Equivalent,Robin  Sears,LPL,US,2019,"Lenses, Soft Contact, Daily Wear"
Lucens 41 (senofilcon C) Silicone Hydrogel Soft (Hydrophilic) Contact Lens,"LUCENS TECHNOLOGY Co., Ltd.",2024-10-08,K242391,Substantially Equivalent,Kari  Huang,LPL,TW,2024,"Lenses, Soft Contact, Daily Wear"
"Valley Contax Single Vision (SV) Gas Permeable Contact Lens (roflufocon D, roflufocon E, tisilfocon A, hexafocon A, enflufocon A), Valley Contax Goldeneye Aspheric Front Multifocal (AFM) Gas Permeable Contact Lens (roflufocon D, roflufocon E, tisilfocon A, hexafocon A, enflufocon A), Valley Contax V Kone (VK) Gas Permeable Contact Lens (roflufocon D, roflufocon E, tisilfocon A, hexafocon A, enflufocon A)","Valley Contax, Inc.",2021-05-11,K202860,Substantially Equivalent,Josh  Adams,HQD,US,2021,"Lens, Contact (Other Material) - Daily"
BENZ-MF (VISIBILITY HANGLING TINT) (METHAFILCON A) SOFT DAILY WEAR CONTACT LENS (LATHE-CUT),BENZ RESEARCH AND DEVELOPMENT CORP.,2001-03-08,K003861,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
AL-47 TORIC (ISOFILCON) SOFT (TORIC) DAILY WEAR CONTACT LENS,MARTIN DALSING,1997-12-08,K973847,Substantially Equivalent,MARTIN J DALSING,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
SAUFLON CLARITI 1 DAY (SOMOFILCON A) SOFT (HYDROPHILIC) DAILY DISPOSABLE CONTACT LENS WITH UV BLOCKER,"SAUFLON PHARMACEUTICALS, LTD.",2013-07-26,K130331,Substantially Equivalent,CHRISTOPHER  SMEJKAL,MVN,GB,2013,"Lens, Contact, (Disposable)"
TINTED OCU-FLEX 53 (OCCUFILCON B) SOFT HYDROPHILIC CONTACT LENS,"OCU-EASE OPTICAL PRODUCTS, INC.",1996-03-25,K960291,Substantially Equivalent,CHARLES R VERMETTE,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
DAILIES (NELFILCON A) ONE-DAY,CIBA VISION JOHNS CREEK MFG.,1999-08-18,K992446,Substantially Equivalent,ALICIA M PLESNARSKI,MVN,US,1999,"Lens, Contact, (Disposable)"
"GELFLEX DELTA SOFT CONTACT LENS MATERIAL METHAFILCON A 55% WATER CONTENT CLEAR OR BLUE VISITINT, GELFLEX ALPHA SOFT CONT",GELFLEX,2003-02-05,K024003,Substantially Equivalent,PETER G BRYANT,LPL,AU,2003,"Lenses, Soft Contact, Daily Wear"
ADVENTURE TINTS PROSTHETIC TINTED SOFT CONTACT LENS,"ADVENTURES IN COLOR TECHNOLOGY, LTD.",1999-07-07,K992054,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
Tangible Hydrogel w/ Hydra-PEG (etafilcon A) Soft (Hydrophilic) Daily Wear Contact Lens,Tangible Science LLC,2017-10-18,K171125,Substantially Equivalent,Vic  McCray,LPL,US,2017,"Lenses, Soft Contact, Daily Wear"
"ALDEN CLASSIC TINTED (POLYMACON) SOFT (SPHERICAL & TORIC) DAILY WEAR CONTACT LENS, TINTED (TRANSPARENT/ENHANCING)","ALDEN OPTICAL LABS., INC.",1998-04-07,K980554,Substantially Equivalent,MARTIN J DALSING,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
Innova Vision Hydrogel (Etafilcon A) Soft (Hydrophilic) Contact Lens,Innova Vision Inc.,2023-03-13,K222954,Substantially Equivalent,Kari  Huang,LPL,TW,2023,"Lenses, Soft Contact, Daily Wear"
BAUSCH + LOMB NESOFILCON A CONTACT LENS,BAUSCH & LOMB INCORPORATED,2012-06-05,K113703,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2012,"Lenses, Soft Contact, Daily Wear"
ILENS (OCUFILCON D) DAILY SOFT CONTACT LENS,SEINOH OPTICAL CO. LTD.,2014-07-18,K141280,Substantially Equivalent,JENNIFER  TING,LPL,TW,2014,"Lenses, Soft Contact, Daily Wear"
UNICON Hydrogel (Hioxifilcon A) Soft (Hydrophilic) Contact Lens,"UNICON Optical CO., LTD",2019-09-17,K191929,Substantially Equivalent,Hsiao-Wei  Shen,LPL,TW,2019,"Lenses, Soft Contact, Daily Wear"
BIOMEDICS UV COLORS (OCUFILCON D) SOFT (HYDROPHILIC) CONTACT LENS,"OCULAR SCIENCES PUERTO RICO, INC.",2001-12-20,K013377,Substantially Equivalent,RICHARD  LIPPMAN,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
Acuity 181 (tisilfocon A) and Acuity 181 (tisilfocon A) with Tangible Hydra-PEG® Rigid Gas Permeable Contact Lenses,"Acuity Polymers, Inc.",2024-11-01,K242393,Substantially Equivalent,Jose  Chavez,HQD,US,2024,"Lens, Contact (Other Material) - Daily"
"HOYA Illumina (sorafilcon A) Daily Disposable Soft Contact Lens, HOYA Illumina (sorafilcon A) Toric Daily Disposable Soft Contact Lens, HOYA Illumina (sorafilcon A) Multifocal Daily Disposable Soft Contact Lens",HOYA Lamphun Ltd.,2024-01-03,K223397,Substantially Equivalent,Timothy  Ting,LPL,TH,2024,"Lenses, Soft Contact, Daily Wear"
"SPECIALTY 42 (HEFILCON A) HYDROPHILIC CONTACT LENS FOR DAILY WEAR, SPECIALTY T-42 TORIC (HEFILCON A) HYDROPHILIC CONTACT","SPECIALTY ULTRAVISION, INC.",2000-03-21,K000376,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
BENZ G-5X (HIOXIFILCON A) SOFT DAILY WEAR CONTACT LENS,BENZ RESEARCH AND DEVELOPMENT CORP.,1998-12-22,K983773,Substantially Equivalent,MARTIN  DALSING,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
BENZ-G 4X (HIOXIFILCON D) MULTIFOCAL LATHED LENS,BENZ RESEARCH AND DEVELOPMENT CORP.,2010-08-09,K101122,Substantially Equivalent,GIOVANNY  ESPINOSA,LPL,US,2010,"Lenses, Soft Contact, Daily Wear"
LUNEAU 3 MIRROR LENS,LUNEAU SA,2002-09-24,K022413,Substantially Equivalent,JEAN NOEL  YOUNG,HJK,FR,2002,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
RIGID GAS PERMEABLE CONTACT LENS,POLYMER TECHNOLOGY,2000-08-28,K001960,Substantially Equivalent,DEBRA  L.B. KETCHUM,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
SAVIEW 58 UV; TORIC & MULTIFOCAL (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,"ST. SHINE OPTICAL CO., LTD.",2010-03-11,K092852,Substantially Equivalent,BRIAN  LAI,LPL,TW,2010,"Lenses, Soft Contact, Daily Wear"
Acuity 58 (Enflufocon B) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2017-05-31,K170007,Substantially Equivalent,James A. Bonafini,HQD,US,2017,"Lens, Contact (Other Material) - Daily"
"COMFORTKONE, KERATOCONUS ASPHERIC, RIGID GAS PERMEABLE (RGP), DAILY WEAR CONTACT LENS","METRO OPTICS OF AUSTIN, INC.",1999-03-31,K990264,Substantially Equivalent,MARTIN  DALSING,HQD,US,1999,"Lens, Contact (Other Material) - Daily"
BAYVUE (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS,"UNILENS CORP., USA",1994-04-12,K940777,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
ACUVUE (ETAFILCON A) SOFT CONTACT LENS FOR PRESBYOPIA,"JOHNSON & JOHNSON VISION CARE, INC.",2014-09-18,K141670,Substantially Equivalent,SCOTT  DURLAND,LPL,US,2014,"Lenses, Soft Contact, Daily Wear"
UCL MULTIFOCAL SOFT CONTACT LENS,"UNITED CONTACT LENS, INC.",1994-06-06,K941607,Substantially Equivalent,DONALD T COOK,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
BIOCURVE SOFT (HIOXIFILCON B) SPHERICAL AND TORIC SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND BLUE VISIBILITY-HANDLING L,"AMERICAN BIOCURVE, INC.",2001-06-13,K011234,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
HORIZON (METHAFILCON A) DAILY WEAR SPHERE AND TORIC CONTACT LENSES,"WESTCON CONTACT LENS CO., INC.",2004-02-20,K031774,Substantially Equivalent,CAROL  NOBEL,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
SOFLENS(TM) ONE DAY DISPOSABLE (HILAFILCON A) VISIBILITY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",1998-03-11,K974780,Substantially Equivalent,MICHAEL A SANTALUCIA,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
FRESHKON 1-DAY ALLURING EYES (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR FRESHKON 1-DAY MOSAIC (ETAFILC,OCULUS PRIVATE LIMITED,2013-02-15,K122315,Substantially Equivalent,Kevin  Walls,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
PROCLEAR (OMAFILCON A) DAILY DISPOSABLE/DAILY WEAR SOFT CONTACT LENS,"COOPERVISION, INC.",2006-11-22,K061948,Substantially Equivalent,LISA  HAHN,MVN,US,2006,"Lens, Contact, (Disposable)"
Innova Vision (inifilcon A) Silicone Hydrogel Soft (Hydrophilic) Contact Lens,Innova Vision Inc.,2023-11-16,K232139,Substantially Equivalent,Celine  Hsu,LPL,TW,2023,"Lenses, Soft Contact, Daily Wear"
"HD/HDT, PV/PVT (POLYMACON) SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, FULLY CAST-MOLDED LENS)","POLY VUE TECHNOLGIES, INC.",2001-11-20,K013220,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
FREQUENCY 38 AND SILVER 07 (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS,"COOPERVISION, INC.",2004-11-16,K042824,Substantially Equivalent,BONNIE J TSYMBAL,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
NewVision SC (tisilfocon A) Scleral Lens; NewVision SC Daily Wear Ortho-K (tisilfocon A) Corneo-Scleral Lens,"Acculens, Inc.",2023-06-16,K230910,Substantially Equivalent,Troy  Miller,HQD,US,2023,"Lens, Contact (Other Material) - Daily"
CONTACT LASER & DIAGNOSTIC LENSES,"VOLK OPTICAL, INC.",2002-10-11,K023221,Substantially Equivalent,RICHARD E LIPPMAN,HJK,US,2002,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
COLORSOFT PROSTHETIC TINTED SOFT CONTACT LENS,COLORSOFT LABORATORIES CORP.,1999-08-16,K992339,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
ESSTECH SV(POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS,SZABOCSIK AND ASSOC.,1994-07-28,K942187,Substantially Equivalent,"JOHN M SZABOCSIK, PH.D",LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
